id,title,rating,card_subtitle
37259325,惩罚者：最后一击,6.9,2026 / 美国 / 剧情 动作 惊悚 犯罪 冒险 / 雷纳尔多·马库斯·格林 / 乔·博恩瑟 杰森·R·摩尔
37005312,幸运有八只触手,7.7,2026 / 美国 / 剧情 / 奥利维亚·纽曼 / 莎莉·菲尔德 刘易斯·普尔曼
37295472,利摩日阳台,7.3,2025 / 法国 / 剧情 / 杰禾姆·贺柏 / 安妮·莉丝·海姆伯格 法比恩·巴布
38396481,麦卡托·骑士,6.5,2026 / 日本 / 剧情 悬疑 / 大山晃一郎 / 水泽林太郎 须贺健太
35558639,死亡不存在,6.4,2025 / 法国 加拿大 / 剧情 动画 / 菲利克斯·杜福-拉贝埃尔 / 卡蕾尔·通布莱 芭芭拉·于尔里克
38242772,血爱杀手,5.5,2026 / 泰国 / 动作 爱情 惊悚 / 塔韦华·温泰 / 平采娜·乐维瑟派布恩 塔纳波·里拉塔纳卡邹
36631864,奇幻变身大冒险,7.6,2026 / 美国 / 喜剧 动画 家庭 奇幻 冒险 / 内森·格雷诺 / 迈克尔·B·乔丹 朱诺·坦普尔
36418021,自主公民,6.1,2025 / 美国 / 剧情 惊悚 犯罪 / 克里斯蒂安·斯韦加尔 / 丹尼斯·奎德 雅各布·特伦布莱
37200693,幸福之路,5.5,2025 / 加拿大 美国 / 剧情 / 洛伊德·李·崔 / 张震 陈法拉
36779303,巅峰猎杀,6.3,2026 / 加拿大 澳大利亚 美国 冰岛 / 动作 惊悚 / 巴塔萨·科马库 / 查理兹·塞隆 塔伦·埃哲顿
37427884,我的麻烦室友,6.1,2026 / 美国 / 喜剧 / 钱德勒·莱瓦科 / 莎蒂·桑德勒 克洛伊·伊斯特
36929221,木乃伊,6.2,2026 / 爱尔兰 美国 西班牙 加拿大 / 恐怖 / 李·克罗宁 / 杰克·莱诺 莱娅·科斯塔
36433332,抖擞,6.1,2026 / 美国 / 喜剧 犯罪 / 彼得·法雷里 / 马克·沃尔伯格 保罗·沃尔特·豪泽
37335090,追恶,6.1,2026 / 中国大陆 / 动作 犯罪 / 成思毅 / 释小龙 王真儿
37233517,杀木地,5.8,2026 / 韩国 / 惊悚 恐怖 / 李相珉 / 金惠奫 李钟元
37332784,我，许可,8.3,2026 / 中国大陆 / 剧情 喜剧 / 杨荔钠 / 文淇 秦海璐
36806351,超级马力欧银河大电影,7.0,2026 / 日本 美国 / 喜剧 动画 奇幻 冒险 / 亚伦·霍瓦斯 迈克尔·杰勒尼克 / 克里斯·帕拉特 安雅·泰勒-乔伊
36995126,爱情抓马,6.9,2026 / 美国 / 剧情 喜剧 爱情 / 克里斯托弗·博格利 / 赞达亚 罗伯特·帕丁森
26022233,蜂蜜的针,6.9,2026 / 中国大陆 / 爱情 悬疑 犯罪 / 袁梅 / 袁泉 耿乐
38242775,赤红生死线,6.1,2026 / 泰国 / 剧情 惊悚 犯罪 / 西蒂斯里·蒙哥西里 / 尼塔莎·吉拉尤吉恩 艾丝特·苏普莉拉
38363138,欧阳万成：终于回家了,7.9,2026 / 美国 / 喜剧 / 欧阳万成 / 欧阳万成
37061195,谍杀风暴,5.7,2026 / 西班牙 / 惊悚 / 丹尼·德拉托雷 / 马里奥·卡萨斯 玛蕾拉·嘉里加
35010610,挽救计划,8.6,2026 / 美国 / 剧情 科幻 惊悚 / 菲尔·罗德 克里斯托弗·米勒 / 瑞恩·高斯林 桑德拉·惠勒
36368568,我当你兄弟,6.2,2026 / 美国 / 喜剧 动作 犯罪 / 本大卫·格拉宾斯基 / 文斯·沃恩 詹姆斯·麦斯登
36539452,拼桌,6.2,2026 / 中国大陆 / 喜剧 爱情 / 吴靖 / 王传君 江疏影
37226826,幽旅巫咒,6.6,2026 / 爱尔兰 美国 / 恐怖 / 达米安·麦克卡西 / 亚当·斯科特 大卫·威尔莫特
36238726,索命舞娘,6.4,2026 / 英国 美国 匈牙利 / 动作 惊悚 恐怖 / 维姬·朱森 / 麦迪·齐格勒 拉娜·康多
36832900,准备好了没2：我来了,6.0,2026 / 美国 加拿大 / 喜剧 惊悚 恐怖 / 泰勒·吉勒特 马特·贝蒂内利-奥尔平 / 萨玛拉·维文 凯瑟琳·纽顿
37387189,披萨电影,6.4,2026 / 美国 / 喜剧 / 尼克·科切 布莱恩·麦克哈尼 / 伽塔·马塔拉佐 肖恩·吉布朗尼
36999793,河狸变身计划,7.4,2026 / 美国 / 喜剧 科幻 动画 / 丹尼尔·钟 / 佩珀·柯达 鲍比·莫尼汉
35900174,侵略机器,6.3,2026 / 英国 澳大利亚 新西兰 美国 / 动作 科幻 惊悚 / 帕特里克·休斯 / 约书亚·迪亚兹 阿兰·里奇森
30382501,浴血黑帮：不朽传奇,6.5,2026 / 英国 法国 美国 / 剧情 历史 犯罪 / 汤姆·哈伯 / 基里安·墨菲 丽贝卡·弗格森
36503073,暗黑新娘！,6.4,2026 / 法国 美国 / 剧情 惊悚 犯罪 / 玛吉·吉伦哈尔 / 杰西·巴克利 克里斯蒂安·贝尔
36314193,惊声尖叫7,5.3,2026 / 美国 加拿大 / 悬疑 恐怖 / 凯文·威廉姆森 / 内芙·坎贝尔 柯特妮·考克斯
36926954,杀的就是你,6.9,2026 / 美国 / 喜剧 动作 恐怖 / 基里尔·索科洛夫 / 莎姬·贝兹 帕特丽夏·阿奎特
38413999,小家伙,6.9,2026 / 俄罗斯 / 剧情 战争 / Andrey Simonov / Gleb Kalyuzhnyy Ivan Alekseev
35373284,悬崖绝壁,6.0,2026 / 美国 / 剧情 动作 历史 冒险 / 弗兰克·E.弗劳尔斯 / 佩丽冉卡·曹帕拉 卡尔·厄本
26900149,如何大赚一笔,5.9,2026 / 英国 法国 / 剧情 喜剧 惊悚 / 约翰·巴顿·福特 / 格伦·鲍威尔 玛格丽特·库里
36916004,冬歇,6.7,2026 / 英国 / 剧情 / 波利·芬德利 / 莱丝利·曼维尔 塞伦·希德
26335563,孔雀舞曲,6.9,2026 / 韩国 / 剧情 / 李忠弼 / 高我星 文相敏
37049749,浴火之森,5.8,2026 / 西班牙 / 剧情 惊悚 / 大卫·维多利 / 贝伦·奎斯塔 戴安娜·戈麦斯
37346409,她回来的那天,7.4,2026 / 韩国 / 剧情 / 洪常秀 / 宋宣美 赵伦嬉
36883105,星河入梦,6.9,2026 / 中国大陆 中国香港 / 科幻 奇幻 冒险 / 韩延 / 王鹤棣 宋茜
37211128,熊猫计划之部落奇遇记,5.2,2026 / 中国大陆 / 喜剧 奇幻 / 许宏宇 / 成龙 马丽
36474027,镖人：风起大漠,7.5,2026 / 中国大陆 / 动作 武侠 古装 / 袁和平 / 吴京 谢霆锋
37311135,飞驰人生3,7.3,2026 / 中国大陆 / 剧情 喜剧 运动 / 韩寒 / 沈腾 尹正
37427493,熊出没·年年有熊,6.5,2026 / 中国大陆 / 喜剧 动画 奇幻 / 林汇达 / 张伟 张秉君
37242440,惊蛰无声,6.0,2026 / 中国大陆 / 剧情 犯罪 / 张艺谋 / 易烊千玺 朱一龙
35328629,我们不是陌生人,5.6,2026 / 新加坡 / 剧情 / 陈哲艺 / 杨雁雁 许家乐
37113995,东北恋哥3：冬天里的一把火,6.2,2026 / 中国大陆 / 喜剧 爱情 / 秦小珍 / 包贝尔 张梦露
36910970,奇迹梦之队,6.8,2026 / 美国 加拿大 / 喜剧 动画 冒险 运动 / 泰里·迪利海 亚当·罗塞特 / 凯莱布·麦克劳克林 加布里埃尔·尤尼恩
36901008,洛杉矶劫案,6.5,2026 / 美国 英国 / 剧情 动作 犯罪 / 巴特·雷顿 / 克里斯·海姆斯沃斯 马克·鲁法洛
36963690,呼啸山庄,6.2,2026 / 英国 美国 / 剧情 爱情 / 埃默拉尔德·芬内尔 / 玛格特·罗比 雅各布·艾洛蒂
36838688,人工情报,6.4,2026 / 韩国 / 剧情 动作 / 柳昇完 / 赵寅成 朴正民
37194405,美味倒数,6.8,2026 / 韩国 / 剧情 / 金泰泳 / 崔宇植 张慧珍
36208896,火拼,6.0,2026 / 中国香港 中国大陆 / 动作 犯罪 / 吴家伟 / 方中信 吕良伟
37806619,这就是我,6.7,2026 / 日本 / 剧情 音乐 传记 / 松本优作 / 望月春希 木村多江
37571351,第六十届超级碗中场秀,8.1,2026 / 美国 / 音乐 歌舞 / 哈密什·汉密尔顿 / 坏痞兔 Lady Gaga
36066090,瑞典救援暗线,7.0,2026 / 瑞典 / 剧情 传记 历史 战争 / 特蕾兹·阿尔贝克 马库斯·奥尔森 / 亨里克·多尔辛 西塞拉·本
37195133,我独自蜜月,6.2,2026 / 美国 / 喜剧 爱情 / 查尔斯·金南 丹尼尔·金南 / 凯文·詹姆斯 妮可·吉玛多
36978169,与王生活的男人,7.4,2026 / 韩国 / 剧情 历史 / 张抗俊 / 柳海真 朴志训
37296908,非传统浪漫关系,5.8,2026 / 中国大陆 / 剧情 喜剧 爱情 / 梁文哲 / 朱颜曼滋 任彬
36117593,机动战士高达 闪光的哈萨维 喀耳刻的魔女,8.1,2026 / 日本 / 剧情 科幻 动画 战争 / 村濑修功 / 小野贤章 上田丽奈
36892468,庇护之地,5.9,2026 / 英国 美国 加拿大 / 动作 惊悚 / 里克·罗曼·沃夫 / 杰森·斯坦森 博德希·蕾·布里纳希
36371992,铁肺,5.5,2026 / 美国 / 恐怖 / 马克·费施巴赫 / 马克·费施巴赫 卡萝·卡普兰
36977669,东北警察故事3,7.3,2026 / 中国大陆 / 喜剧 动作 犯罪 / 杨秉佳 / 谢苗 林晓杰
38222804,大蛇5：怪兽都市,5.4,2026 / 中国大陆 / 动作 惊悚 恐怖 冒险 灾难 / 林珍钊 / 张傲月 梁颂晴
34864022,请求救援,6.6,2026 / 美国 加拿大 英国 澳大利亚 泰国 / 惊悚 恐怖 冒险 / 山姆·雷米 / 瑞秋·麦克亚当斯 迪伦·奥布莱恩
37032137,特工迷阵,5.8,2026 / 新西兰 美国 / 喜剧 动作 悬疑 犯罪 / 安杰尔·曼纽尔·索托 / 杰森·莫玛 戴夫·巴蒂斯塔
36116692,眨眼之间,6.6,2026 / 美国 / 剧情 科幻 / 安德鲁·斯坦顿 / 凯特·麦克金农 戴维德·迪格斯
37207219,绚烂一刻,6.6,2026 / 美国 / 剧情 / 艾丹·扎米里 / 查莉XCX 亚历山大·斯卡斯加德
37246591,伪术奇才,6.6,2026 / 意大利 / 剧情 历史 / 斯特凡诺·洛维奇 / 彼得洛·卡斯特里图 朱莉娅·米切利尼
37134618,爆水管,5.7,2026 / 中国大陆 / 喜剧 犯罪 / 周涤啡 / 彭于晏 艾伦
37825206,超时空辉夜姬！,8.3,2026 / 日本 / 剧情 科幻 动画 音乐 奇幻 / 山下清悟 / 夏吉优子 永濑安奈
36749573,极限审判,7.2,2026 / 美国 / 动作 科幻 悬疑 / 提莫·贝克曼贝托夫 / 克里斯·帕拉特 丽贝卡·弗格森
36932394,全信没收,6.6,2026 / 美国 / 剧情 动作 悬疑 惊悚 犯罪 / 乔·卡纳汉 / 马特·达蒙 本·阿弗莱克
36850893,惊变28年2：白骨圣殿,6.5,2026 / 英国 美国 加拿大 / 科幻 惊悚 恐怖 / 尼娅·达科斯塔 / 拉尔夫·费因斯 杰克·奥康奈尔
37193378,不过是上班,6.0,2026 / 中国大陆 / 喜剧 / 王梓骏 / 吴俊霆 李孝谦
36340236,盛夏假期遇见爱,6.5,2026 / 美国 / 爱情 / 布雷特·海利 / 艾米丽·巴德 汤姆·布莱斯
37480812,手遮天,6.5,2026 / 中国大陆 / 动作 犯罪 古装 / 刘文普 / 刘峰超 袁福福
36135296,教场 Reunion,6.0,2026 / 日本 / 剧情 悬疑 / 中江功 / 木村拓哉 大岛优子
36790513,过家家,6.6,2026 / 中国大陆 / 剧情 / 李太言 / 成龙 彭昱畅
35930441,后来的我们,7.3,2025 / 韩国 / 剧情 爱情 / 金度英 / 具教焕 文佳煐
36073533,匿杀,5.5,2025 / 中国大陆 / 悬疑 犯罪 / 柯汶利 / 彭昱畅 张钧甯
26389539,寻秦记,6.2,2025 / 中国香港 中国大陆 / 动作 奇幻 古装 / 吴炫辉 黎震龙 / 古天乐 林峯
35461578,用武之地,7.2,2025 / 中国大陆 / 剧情 动作 战争 / 申奥 / 肖央 齐溪
37089563,LAST MAN-全盲搜查官- FAKE／TRUTH,6.4,2025 / 日本 / 剧情 / 平野俊一 / 福山雅治 大泉洋
37014022,新狂蟒之灾,5.0,2025 / 美国 / 喜剧 动作 冒险 / 汤姆·戈米肯 / 保罗·路德 杰克·布莱克
37022026,蓝调之歌,6.5,2025 / 美国 / 剧情 音乐 歌舞 传记 历史 / 克雷格·布鲁尔 / 休·杰克曼 凯特·哈德森
36787731,万物生灵：2025圣诞特别集,8.9,2025 / 英国 / 剧情 / 尼古拉斯·瑞夫 蕾切尔·申顿
37335483,今夜，就算这份爱恋从世界上消失,6.7,2025 / 韩国 / 爱情 / 金惠英 / 秋泳愚 申诗雅
37512260,星与月是天上的洞,5.7,2025 / 日本 / 剧情 / 荒井晴彦 / 绫野刚 咲耶
36367195,家弑服务,7.1,2025 / 美国 / 剧情 悬疑 惊悚 / 保罗·费格 / 西德尼·斯维尼 阿曼达·塞弗里德
36389635,海绵宝宝：深海大冒险,6.7,2025 / 美国 / 喜剧 动画 奇幻 冒险 / 德里克·德莱蒙 / 汤姆·肯尼 比尔·法格巴克
37130746,十项舞蹈,6.8,2025 / 日本 / 爱情 同性 / 大友启史 / 竹内凉真 町田启太
5348089,阿凡达：火与烬,7.6,2025 / 美国 / 动作 科幻 惊悚 奇幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜
37236843,再见琼,7.0,2025 / 英国 美国 / 剧情 / 凯特·温斯莱特 / 凯特·温斯莱特 托妮·科莱特
37342627,夺命网红2,5.5,2025 / 美国 / 悬疑 惊悚 恐怖 / 科提斯·大卫·哈德 / 卡桑德拉·诺德 乔治娜·坎贝尔
36778124,爱犬莫福,5.8,2025 / 美国 / 喜剧 / 杰西卡·斯维尔 / 查理·考克斯 佐伊·丹斯切尔
37901018,丹尼尔·斯洛斯：做不到,8.0,2025 / 英国 / 喜剧 / 丹尼尔·斯洛斯 / 丹尼尔·斯洛斯
30174089,内幕,6.2,2025 / 中国香港 / 剧情 动作 犯罪 / 麦兆辉 / 郭富城 任达华
36553324,趣塔德庄园,7.2,2025 / 英国 / 喜剧 / 吉姆·奥汉龙 / 戴米恩·路易斯 凯瑟琳·沃特斯顿
37305658,征服者,6.6,2025 / 印度 / 剧情 动作 惊悚 犯罪 / 阿迪蒂亚·达尔 / 阿克夏耶·坎纳 马达范
36948643,运钞大劫案,5.7,2025 / 中国大陆 / 动作 犯罪 / 霍穗强 / 吴樾 包贝尔
37303803,欢乐岁月,7.2,2025 / 美国 / 歌舞 / 玛丽亚·弗里德曼 / 丹尼尔·雷德克里夫 乔纳森·格罗夫
37657502,我的邻居不是人,5.7,2025 / 泰国 / 恐怖 / 罗宁·提姆 / 提拉达·迈特瓦拉育 Sarunrat Puagpipat
36821463,乐开怀,5.9,2025 / 美国 / 喜剧 / 迈克尔·肖沃特 / 米歇尔·菲佛 菲丽希缇·琼斯
37383596,我的秘密圣诞老人,5.6,2025 / 美国 / 喜剧 / 麦克·罗尔 / 麦迪逊·麦克伊萨克 瑞安·艾戈尔德
35633741,混凝土市场,6.2,2025 / 韩国 / 剧情 动作 惊悚 / 洪基元 / 李在仁 红炅
26817136,疯狂动物城2,8.3,2025 / 美国 / 喜剧 动画 悬疑 犯罪 冒险 / 杰拉德·布什 拜伦·霍华德 / 金妮弗·古德温 杰森·贝特曼
37560609,我们不可能成为恋人！绝对不行。 (※似乎可行？) 〜再次闪耀！〜,8.1,2025 / 日本 / 喜剧 动画 同性 / 内沼菜摘 / 中村栞奈 大西沙织
36523156,金童,6.1,2025 / 中国香港 / 剧情 / 陈维冠 / 张继聪 曾志伟
36175206,魔法坏女巫2,5.6,2025 / 美国 加拿大 澳大利亚 / 剧情 爱情 歌舞 奇幻 / 朱浩伟 / 辛西娅·埃里沃 爱莉安娜·格兰德
37149566,家庭计划2,5.7,2025 / 美国 英国 / 喜剧 动作 家庭 / 西蒙·赛伦·琼斯 / 马克·沃尔伯格 米歇尔·莫纳汉
36850049,永生战士2,6.6,2025 / 芬兰 英国 / 动作 战争 / 贾马里·赫兰德 / 乔玛·汤米拉 史蒂芬·朗
37212415,香槟情缘,5.7,2025 / 美国 / 喜剧 爱情 / 马克·斯蒂文·约翰逊 / 敏卡·凯利 汤姆·沃兹尼奇卡
37071133,菜肉馄饨,7.2,2025 / 中国大陆 / 剧情 喜剧 爱情 / 吴天戈 / 周野芒 潘虹
30286126,三滴血,6.3,2025 / 中国大陆 / 剧情 犯罪 / 康博 / 胡歌 文淇
26404869,惊天魔盗团3,5.7,2025 / 美国 / 剧情 动作 犯罪 / 鲁本·弗雷斯彻 / 杰西·艾森伯格 伍迪·哈里森
35358792,马腾你别走,7.0,2025 / 中国大陆 / 剧情 喜剧 / 岳洋 / 林更新 李幼斌
34930810,平场之月,7.4,2025 / 日本 / 剧情 爱情 / 土井裕泰 / 堺雅人 井川遥
37561035,大使馆谋杀案,5.4,2025 / 英国 / 动作 悬疑 惊悚 冒险 / Stephen Shimek / 米莎·巴顿 拉哈·蕾贝里
36381774,白日梦奇遇记,6.5,2025 / 美国 / 喜剧 动画 家庭 奇幻 冒险 / 埃里克·本森 亚历山大·伍 / 朱莉·黄·拉帕波特 伊莱亚斯·詹森
37505432,咒术回战 涩谷事变×死灭回游 剧场版,6.5,2025 / 日本 / 剧情 动作 动画 奇幻 / 御所园翔太 / 榎木淳弥 内田雄马
37229744,倒退,6.7,2025 / 西班牙 多米尼加 / 悬疑 惊悚 / Jacob Santana / 海因米·洛伦特 曼努尔·维嘉
37352648,魔法坏女巫：奇幻之夜,8.4,2025 / 美国 / 音乐 歌舞 / 保罗·达格代尔 凯恩·萨菲亚里 克里斯多夫·斯科特 / 辛西娅·埃里沃 爱莉安娜·格兰德
36680492,大濛,7.8,2025 / 中国台湾 / 剧情 / 陈玉勋 / 方郁婷 柯炜林
36707378,铁血战士：杀戮之地,7.4,2025 / 美国 澳大利亚 新西兰 加拿大 德国 / 动作 科幻 惊悚 冒险 / 丹·特拉亨伯格 / 艾丽·范宁 迪米特里乌斯·舒斯特-科洛阿玛坦吉
35443478,猎杀游戏,5.8,2025 / 美国 英国 / 动作 科幻 惊悚 冒险 / 埃德加·赖特 / 格伦·鲍威尔 乔什·布洛林
35614162,旁观者,6.3,2025 / 中国大陆 / 剧情 / 松太加 / 陈坤 王砚辉
37077505,爆弹,7.2,2025 / 日本 / 悬疑 犯罪 / 永井聪 / 山田裕贵 佐藤二朗
37479626,巴霍巴利王：史诗,7.1,2025 / 印度 / 剧情 动作 奇幻 / S·S·拉贾穆里 / 帕拉巴斯 特曼娜·芭蒂亚
36219411,像我这样的爱情,7.1,2025 / 中国香港 / 剧情 爱情 / 谭惠贞 / 廖子妤 陈家乐
37258105,安全屋,6.6,2025 / 美国 / 动作 悬疑 / Jamie Marshall / 卢锡安·拉维斯科特 汉娜·乔恩-卡门
35700339,飞行家,7.1,2025 / 中国大陆 / 剧情 喜剧 / 鹏飞 / 蒋奇明 李雪琴
36894424,放飞旅行团,5.7,2025 / 韩国 / 剧情 / 南大中 / 姜河那 金英光
37213104,东京出租车,8.0,2025 / 日本 / 剧情 / 山田洋次 / 倍赏千惠子 木村拓哉
37388734,午夜之花,6.1,2025 / 日本 / 犯罪 / 内田英治 / 北川景子 森田望智
37039108,地母,7.1,2025 / 马来西亚 意大利 中国香港 / 剧情 / 张吉安 / 范冰冰 许恩怡
36752985,下一个台风,6.9,2025 / 中国大陆 / 剧情 / 李玉 / 张子枫 张伟丽
36689647,遇见世界,7.6,2025 / 日本 / 剧情 / 松居大悟 / 杉咲花 南琴奈
37657537,宿主,5.4,2025 / 泰国 / 剧情 惊悚 恐怖 / 拜拉契·坤完 / 泰蒂娅·吉拉庞恩斯普 薇琳萨兰·唐绮苏瓦妮
36999797,为你遗憾,5.7,2025 / 德国 美国 / 剧情 / 约什·布恩 / 麦肯娜·格瑞丝 梅森·泰晤士
36962864,正在缩小的男人,6.4,2025 / 法国 比利时 / 科幻 冒险 / 扬·高能 / 让·杜雅尔丹 玛丽-乔西·克罗兹
36904780,真理与背叛,7.4,2025 / 立陶宛 美国 / 剧情 惊悚 历史 / 马特·惠特可 / 伊万·霍罗克斯 鲁珀特·伊文斯
37168695,草莓月亮,7.3,2025 / 日本 / 剧情 爱情 / 酒井麻衣 / 当真亚美 斋藤润
37517140,藤本树 17-26,8.3,2025 / 日本 / 剧情 科幻 动画 奇幻 / 长屋诚志郎 木村延景 武内宣之 安藤尚也 渡边彻明 寺泽和晃 本间修 / 小野贤章 樱井诗音
37296317,喂，应为,6.3,2025 / 日本 / 剧情 传记 / 大森立嗣 / 长泽雅美 永濑正敏
36621696,黑色电话2,6.0,2025 / 美国 加拿大 / 恐怖 / 斯科特·德瑞克森 / 伊桑·霍克 梅森·泰晤士
3401672,蠢特夫妇,5.9,2025 / 美国 英国 / 喜剧 动画 奇幻 冒险 / 菲尔·约翰斯顿 托德·德蒙 凯蒂·沙纳汉 / 约翰尼·维加斯 玛格·马丁戴尔
37168030,我们的错误,5.6,2025 / 西班牙 / 剧情 爱情 / 多明戈·冈萨雷斯 / 妮可·华莱士 加布里埃尔·格瓦拉
36772307,冰湖行动,5.6,2025 / 美国 / 惊悚 犯罪 / 斯戴芬·卢佐维茨基 / 乔尔·金纳曼 卡拉·杰德·迈尔斯
37259344,死后人人爱,6.0,2025 / 泰国 / 剧情 惊悚 犯罪 / 尼提瓦·塔拉吞 / 提拉德·翁坡帕 瓦西拉维奇·哇塔纳帕迪派善
37019075,蒙特利尔，我的美人,7.6,2025 / 加拿大 / 剧情 同性 / 和晓丹 / 陈冲 夏洛特·奥宾
35811719,周年纪念日,6.4,2025 / 美国 / 惊悚 / 扬·科马萨 / 戴安·琳恩 凯尔·钱德勒
36446114,开麦了吗？,5.8,2025 / 美国 / 剧情 喜剧 / 布莱德利·库珀 / 威尔·阿奈特 劳拉·邓恩
36894887,10号舱房的女人,5.7,2025 / 美国 英国 / 剧情 悬疑 惊悚 / 西蒙·斯通 / 凯拉·奈特莉 盖·皮尔斯
37474018,泥娃娃,5.7,2025 / 中国台湾 / 惊悚 恐怖 / 解孟儒 / 杨祐宁 蔡思韵
37312482,爱上平行时空的你,8.0,2025 / 俄罗斯 / 剧情 喜剧 爱情 奇幻 / 达里娅·列别杰娃 / 米拉·埃尔绍娃 尤里·纳索诺夫
36915053,可拉米洛,6.7,2025 / 巴西 / 剧情 喜剧 家庭 / Diego Freitas / 哈法埃尔·维奇 Diego Freitas
30246476,创：战神,6.1,2025 / 美国 / 动作 科幻 冒险 / 乔阿吉姆·罗恩尼 / 杰瑞德·莱托 格蕾塔·李
36302240,楚门之鼠,7.5,2025 / 西班牙 / 喜剧 动画 / 阿尔贝托·巴斯克斯
36691620,至尊马蒂,7.3,2025 / 芬兰 美国 / 剧情 运动 / 乔什·萨弗迪 / 提莫西·查拉梅 格温妮斯·帕特洛
37107063,震耳欲聋,7.4,2025 / 中国大陆 / 剧情 犯罪 / 万力 / 檀健次 兰西雅
36171586,谁想当老大,6.1,2025 / 韩国 / 喜剧 动作 / 罗喜灿 / 赵祐镇 郑敬淏
37089972,致命录像带：万圣节,6.2,2025 / 美国 / 恐怖 / 布莱恩·M·弗格森 加斯帕·凯利 R·H·诺曼 亚历克斯·罗斯·派瑞 米其琳·皮特 帕科·普拉萨 安娜·兹洛科维奇 / 大卫·海顿 安娜·麦克凯尔维
35382381,刺杀小说家2,5.8,2025 / 中国大陆 / 动作 奇幻 / 路阳 / 邓超 董子健
